Angstroms, e1, e2, n, k, Absorption 
3880, 5.419045e+00, 7.707120e+00, 2.724023e+00, 1.414658e+00, 4.154676e-02 
3890, 5.419734e+00, 7.695850e+00, 2.723277e+00, 1.412976e+00, 4.138288e-02 
3900, 5.420428e+00, 7.684841e+00, 2.722551e+00, 1.411331e+00, 4.122118e-02 
3910, 5.421125e+00, 7.674086e+00, 2.721845e+00, 1.409721e+00, 4.106160e-02 
3920, 5.421824e+00, 7.663576e+00, 2.721158e+00, 1.408146e+00, 4.090410e-02 
3930, 5.422524e+00, 7.653308e+00, 2.720489e+00, 1.406605e+00, 4.074863e-02 
3940, 5.423226e+00, 7.643275e+00, 2.719839e+00, 1.405097e+00, 4.059514e-02 
3950, 5.423926e+00, 7.633470e+00, 2.719206e+00, 1.403621e+00, 4.044360e-02 
3960, 5.424626e+00, 7.623890e+00, 2.718589e+00, 1.402178e+00, 4.029396e-02 
3970, 5.425324e+00, 7.614529e+00, 2.717989e+00, 1.400765e+00, 4.014618e-02 
3980, 5.426020e+00, 7.605381e+00, 2.717405e+00, 1.399383e+00, 4.000022e-02 
3990, 5.426712e+00, 7.596443e+00, 2.716837e+00, 1.398031e+00, 3.985605e-02 
4000, 5.427400e+00, 7.587708e+00, 2.716283e+00, 1.396708e+00, 3.971363e-02 
4010, 5.428084e+00, 7.579175e+00, 2.715744e+00, 1.395414e+00, 3.957291e-02 
4020, 5.428762e+00, 7.570837e+00, 2.715219e+00, 1.394149e+00, 3.943388e-02 
4030, 5.429435e+00, 7.562691e+00, 2.714707e+00, 1.392911e+00, 3.929650e-02 
4040, 5.430100e+00, 7.554733e+00, 2.714209e+00, 1.391701e+00, 3.916073e-02 
4050, 5.430759e+00, 7.546959e+00, 2.713724e+00, 1.390517e+00, 3.902655e-02 
4060, 5.431411e+00, 7.539366e+00, 2.713251e+00, 1.389360e+00, 3.889392e-02 
4070, 5.432054e+00, 7.531950e+00, 2.712791e+00, 1.388229e+00, 3.876282e-02 
4080, 5.432689e+00, 7.524708e+00, 2.712342e+00, 1.387124e+00, 3.863322e-02 
4090, 5.433315e+00, 7.517636e+00, 2.711905e+00, 1.386043e+00, 3.850509e-02 
4100, 5.433931e+00, 7.510732e+00, 2.711480e+00, 1.384988e+00, 3.837841e-02 
4110, 5.434538e+00, 7.503992e+00, 2.711065e+00, 1.383957e+00, 3.825315e-02 
4120, 5.435134e+00, 7.497414e+00, 2.710661e+00, 1.382949e+00, 3.812929e-02 
4130, 5.435720e+00, 7.490994e+00, 2.710267e+00, 1.381966e+00, 3.800680e-02 
4140, 5.436295e+00, 7.484730e+00, 2.709884e+00, 1.381006e+00, 3.788567e-02 
4150, 5.436858e+00, 7.478620e+00, 2.709511e+00, 1.380068e+00, 3.776586e-02 
4160, 5.437411e+00, 7.472660e+00, 2.709147e+00, 1.379154e+00, 3.764735e-02 
4170, 5.437951e+00, 7.466849e+00, 2.708792e+00, 1.378262e+00, 3.753013e-02 
4180, 5.438480e+00, 7.461183e+00, 2.708447e+00, 1.377391e+00, 3.741418e-02 
4190, 5.438997e+00, 7.455661e+00, 2.708111e+00, 1.376543e+00, 3.729947e-02 
4200, 5.439501e+00, 7.450280e+00, 2.707784e+00, 1.375715e+00, 3.718599e-02 
4210, 5.439993e+00, 7.445039e+00, 2.707465e+00, 1.374909e+00, 3.707371e-02 
4220, 5.440472e+00, 7.439934e+00, 2.707155e+00, 1.374124e+00, 3.696261e-02 
4230, 5.440938e+00, 7.434965e+00, 2.706853e+00, 1.373359e+00, 3.685269e-02 
4240, 5.441391e+00, 7.430128e+00, 2.706559e+00, 1.372615e+00, 3.674392e-02 
4250, 5.441832e+00, 7.425423e+00, 2.706273e+00, 1.371891e+00, 3.663628e-02 
4260, 5.442259e+00, 7.420846e+00, 2.705995e+00, 1.371186e+00, 3.652976e-02 
4270, 5.442672e+00, 7.416397e+00, 2.705725e+00, 1.370501e+00, 3.642434e-02 
4280, 5.443073e+00, 7.412074e+00, 2.705462e+00, 1.369835e+00, 3.632001e-02 
4290, 5.443460e+00, 7.407874e+00, 2.705206e+00, 1.369189e+00, 3.621674e-02 
4300, 5.443834e+00, 7.403797e+00, 2.704957e+00, 1.368561e+00, 3.611453e-02 
4310, 5.444195e+00, 7.399840e+00, 2.704716e+00, 1.367952e+00, 3.601336e-02 
4320, 5.444542e+00, 7.396002e+00, 2.704481e+00, 1.367361e+00, 3.591322e-02 
4330, 5.444876e+00, 7.392281e+00, 2.704253e+00, 1.366788e+00, 3.581408e-02 
4340, 5.445197e+00, 7.388676e+00, 2.704032e+00, 1.366233e+00, 3.571594e-02 
4350, 5.445504e+00, 7.385185e+00, 2.703818e+00, 1.365696e+00, 3.561878e-02 
4360, 5.445798e+00, 7.381807e+00, 2.703609e+00, 1.365176e+00, 3.552260e-02 
4370, 5.446079e+00, 7.378541e+00, 2.703408e+00, 1.364674e+00, 3.542737e-02 
4380, 5.446346e+00, 7.375385e+00, 2.703212e+00, 1.364189e+00, 3.533308e-02 
4390, 5.446601e+00, 7.372337e+00, 2.703023e+00, 1.363721e+00, 3.523972e-02 
4400, 5.446842e+00, 7.369397e+00, 2.702840e+00, 1.363269e+00, 3.514728e-02 
4410, 5.447071e+00, 7.366562e+00, 2.702663e+00, 1.362834e+00, 3.505575e-02 
4420, 5.447286e+00, 7.363833e+00, 2.702492e+00, 1.362415e+00, 3.496511e-02 
4430, 5.447489e+00, 7.361207e+00, 2.702326e+00, 1.362013e+00, 3.487535e-02 
4440, 5.447680e+00, 7.358683e+00, 2.702167e+00, 1.361626e+00, 3.478647e-02 
4450, 5.447857e+00, 7.356261e+00, 2.702013e+00, 1.361256e+00, 3.469844e-02 
4460, 5.448023e+00, 7.353939e+00, 2.701865e+00, 1.360901e+00, 3.461127e-02 
4470, 5.448176e+00, 7.351715e+00, 2.701722e+00, 1.360561e+00, 3.452493e-02 
4480, 5.448317e+00, 7.349589e+00, 2.701585e+00, 1.360237e+00, 3.443942e-02 
4490, 5.448446e+00, 7.347560e+00, 2.701453e+00, 1.359927e+00, 3.435473e-02 
4500, 5.448563e+00, 7.345626e+00, 2.701327e+00, 1.359633e+00, 3.427084e-02 
4510, 5.448668e+00, 7.343787e+00, 2.701205e+00, 1.359354e+00, 3.418775e-02 
4520, 5.448762e+00, 7.342041e+00, 2.701089e+00, 1.359089e+00, 3.410545e-02 
4530, 5.448844e+00, 7.340388e+00, 2.700979e+00, 1.358838e+00, 3.402393e-02 
4540, 5.448915e+00, 7.338825e+00, 2.700873e+00, 1.358602e+00, 3.394317e-02 
